Low-Income Energy Affordability Data Tool Map Export (https://lead.openei.org/)
Exported On:,1/9/2022
FPL:,0% - 100%; 100% - 150%; 150% - 200%; 200% - 400%; 400%+
Building Age:,Before 1940; 1940 - 59; 1960 - 79; 1980 - 99; 2000 - 09; 2010+
Heating Fuel Type:,Utility Gas; Bottled Gas; Electricity; Fuel Oil; Coal; Wood; Solar; Other; None
Building Type:,1 unit detached; 1 unit attached; 2 units; 3 - 4 units; 5 - 9 units; 10 - 19 units; 20 - 49 units; 50+ units; Boat/RV/Van; Mobile/Trailer
Rent/Own:,Renter-occupied; Owner-occupied

Geography ID, Name,County,Tribal Areas,Avg. Energy Burden (% income)
06099000101,Census Tract 1.01,Stanislaus County,,3
06071000104,Census Tract 1.04,San Bernardino County,,1
06073010014,Census Tract 100.14,San Diego County,,2
06037104822,Census Tract 1048.22,Los Angeles County,,3
06113010511,Census Tract 105.11,Yolo County,,2
06113010512,Census Tract 105.12,Yolo County,,2
06113010513,Census Tract 105.13,Yolo County,,2
06059110113,Census Tract 1101.13,Orange County,,1
06037115103,Census Tract 1151.03,Los Angeles County,,3
06059011711,Census Tract 117.11,Orange County,,2
06059011712,Census Tract 117.12,Orange County,,2
06059011715,Census Tract 117.15,Orange County,,1
06059011716,Census Tract 117.16,Orange County,,1
06037123902,Census Tract 1239.02,Los Angeles County,,2
06037125401,Census Tract 1254.01,Los Angeles County,,1
06037134522,Census Tract 1345.22,Los Angeles County,,3
06037137501,Census Tract 1375.01,Los Angeles County,,2
06037137502,Census Tract 1375.02,Los Angeles County,,2
06037141303,Census Tract 1413.03,Los Angeles County,,1
06097150607,Census Tract 1506.07,Sonoma County,,1
06097150610,Census Tract 1506.10,Sonoma County,,2
06097151602,Census Tract 1516.02,Sonoma County,,2
06097153104,Census Tract 1531.04,Sonoma County,,3
06097153809,Census Tract 1538.09,Sonoma County,,2
06075015500,Census Tract 155,San Francisco County,,1
06075015600,Census Tract 156,San Francisco County,,1
06075015700,Census Tract 157,San Francisco County,,1
06075015900,Census Tract 159,San Francisco County,,1
06059001601,Census Tract 16.01,Orange County,,1
06059001602,Census Tract 16.02,Orange County,,1
06075016000,Census Tract 160,San Francisco County,,1
06075016200,Census Tract 162,San Francisco County,,1
06075016300,Census Tract 163,San Francisco County,,1
06075016400,Census Tract 164,San Francisco County,,1
06075016600,Census Tract 166,San Francisco County,,1
06075016700,Census Tract 167,San Francisco County,,1
06075016900,Census Tract 169,San Francisco County,,1
06073017050,Census Tract 170.50,San Diego County,,2
06075017000,Census Tract 170,San Francisco County,,1
06037186202,Census Tract 1862.02,Los Angeles County,,2
06037188202,Census Tract 1882.02,Los Angeles County,,1
06037189905,Census Tract 1899.05,Los Angeles County,,1
06037192001,Census Tract 1920.01,Los Angeles County,,1
06037192410,Census Tract 1924.10,Los Angeles County,,1
06037192510,Census Tract 1925.10,Los Angeles County,,1
06037192520,Census Tract 1925.20,Los Angeles County,,2
06037192610,Census Tract 1926.10,Los Angeles County,,2
06037192700,Census Tract 1927,Los Angeles County,,2
06037194500,Census Tract 1945,Los Angeles County,,1
06037195100,Census Tract 1951,Los Angeles County,,1
06037195300,Census Tract 1953,Los Angeles County,,1
06037204920,Census Tract 2049.20,Los Angeles County,,3
06037205110,Census Tract 2051.10,Los Angeles County,,2
06037205120,Census Tract 2051.20,Los Angeles County,,3
06037206010,Census Tract 2060.10,Los Angeles County,,2
06037206020,Census Tract 2060.20,Los Angeles County,,1
06037206050,Census Tract 2060.50,Los Angeles County,,2
06037207400,Census Tract 2074,Los Angeles County,,1
06077002000,Census Tract 20,San Joaquin County,,5
06037211122,Census Tract 2111.22,Los Angeles County,,1
06059021820,Census Tract 218.20,Orange County,,1
06059021912,Census Tract 219.12,Orange County,,1
06059021913,Census Tract 219.13,Orange County,,2
06059021915,Census Tract 219.15,Orange County,,2
06059021924,Census Tract 219.24,Orange County,,1
06077002100,Census Tract 21,San Joaquin County,,4
06037221601,Census Tract 2216.01,Los Angeles County,,2
06037222001,Census Tract 2220.01,Los Angeles County,,2
06037237201,Census Tract 2372.01,Los Angeles County,,3
06037239201,Census Tract 2392.01,Los Angeles County,,3
06037239601,Census Tract 2396.01,Los Angeles County,,3
06077002300,Census Tract 23,San Joaquin County,,4
06037241002,Census Tract 2410.02,Los Angeles County,,3
06095252316,Census Tract 2523.16,Solano County,,2
06095252317,Census Tract 2523.17,Solano County,,2
06095253204,Census Tract 2532.04,Solano County,,2
06095253205,Census Tract 2532.05,Solano County,,2
06095253206,Census Tract 2532.06,Solano County,,2
06037262604,Census Tract 2626.04,Los Angeles County,,1
06037262802,Census Tract 2628.02,Los Angeles County,,1
06037267403,Census Tract 2674.03,Los Angeles County,,1
06037269602,Census Tract 2696.02,Los Angeles County,,2
06077002701,Census Tract 27.01,San Joaquin County,,4
06077002702,Census Tract 27.02,San Joaquin County,,4
06037271901,Census Tract 2719.01,Los Angeles County,,1
06037275500,Census Tract 2755,Los Angeles County,,2
06037296901,Census Tract 2969.01,Los Angeles County,,2
06037302003,Census Tract 3020.03,Los Angeles County,,1
06013302010,Census Tract 3020.10,Contra Costa County,,2
06077003106,Census Tract 31.06,San Joaquin County,,2
06077003108,Census Tract 31.08,San Joaquin County,,3
06077003111,Census Tract 31.11,San Joaquin County,,3
06077003112,Census Tract 31.12,San Joaquin County,,2
06077003113,Census Tract 31.13,San Joaquin County,,4
06077003203,Census Tract 32.03,San Joaquin County,,3
06077003205,Census Tract 32.05,San Joaquin County,,3
06077003208,Census Tract 32.08,San Joaquin County,,2
06077003209,Census Tract 32.09,San Joaquin County,,2
06077003210,Census Tract 32.10,San Joaquin County,,2
06077003213,Census Tract 32.13,San Joaquin County,,3
06077003214,Census Tract 32.14,San Joaquin County,,2
06077003306,Census Tract 33.06,San Joaquin County,,4
06077003307,Census Tract 33.07,San Joaquin County,,4
06077003310,Census Tract 33.10,San Joaquin County,,4
06077003311,Census Tract 33.11,San Joaquin County,,4
06013334006,Census Tract 3340.06,Contra Costa County,,2
06013334200,Census Tract 3342,Contra Costa County,,1
06077003403,Census Tract 34.03,San Joaquin County,,4
06077003404,Census Tract 34.04,San Joaquin County,,4
06077003405,Census Tract 34.05,San Joaquin County,,4
06013346203,Census Tract 3462.03,Contra Costa County,,1
06013346204,Census Tract 3462.04,Contra Costa County,,1
06013355109,Census Tract 3551.09,Contra Costa County,,2
06013355112,Census Tract 3551.12,Contra Costa County,,1
06013355113,Census Tract 3551.13,Contra Costa County,,1
06013355306,Census Tract 3553.06,Contra Costa County,,1
06077003601,Census Tract 36.01,San Joaquin County,,3
06013360101,Census Tract 3601.01,Contra Costa County,,2
06077003802,Census Tract 38.02,San Joaquin County,,3
06013392200,Census Tract 3922,Contra Costa County,,2
06001404700,Census Tract 4047,Alameda County,,1
06001404800,Census Tract 4048,Alameda County,,1
06001404900,Census Tract 4049,Alameda County,,1
06001405100,Census Tract 4051,Alameda County,,1
06001405200,Census Tract 4052,Alameda County,,1
06001405401,Census Tract 4054.01,Alameda County,,2
06001405500,Census Tract 4055,Alameda County,,1
06037408137,Census Tract 4081.37,Los Angeles County,,2
06065041912,Census Tract 419.12,Riverside County,,2
06071004201,Census Tract 42.01,San Bernardino County,,3
06071004202,Census Tract 42.02,San Bernardino County,,3
06059042111,Census Tract 421.11,Orange County,,1
06059042114,Census Tract 421.14,Orange County,,1
06059042203,Census Tract 422.03,Orange County,,1
06059042305,Census Tract 423.05,Orange County,,1
06059042307,Census Tract 423.07,Orange County,,1
06059042317,Census Tract 423.17,Orange County,,1
06059042320,Census Tract 423.20,Orange County,,1
06001423400,Census Tract 4234,Alameda County,,1
06001423500,Census Tract 4235,Alameda County,,1
06001423602,Census Tract 4236.02,Alameda County,,1
06001427600,Census Tract 4276,Alameda County,,1
06001432200,Census Tract 4322,Alameda County,,1
06001432300,Census Tract 4323,Alameda County,,1
06001432502,Census Tract 4325.02,Alameda County,,2
06001432700,Census Tract 4327,Alameda County,,1
06001433000,Census Tract 4330,Alameda County,,2
06001433102,Census Tract 4331.02,Alameda County,,2
06001433103,Census Tract 4331.03,Alameda County,,2
06001433200,Census Tract 4332,Alameda County,,2
06001433300,Census Tract 4333,Alameda County,,2
06001433400,Census Tract 4334,Alameda County,,2
06001433500,Census Tract 4335,Alameda County,,2
06001433800,Census Tract 4338,Alameda County,,2
06001433900,Census Tract 4339,Alameda County,,2
06001434000,Census Tract 4340,Alameda County,,2
06001435500,Census Tract 4355,Alameda County,,2
06001435800,Census Tract 4358,Alameda County,,2
06001435900,Census Tract 4359,Alameda County,,2
06001436000,Census Tract 4360,Alameda County,,2
06001436100,Census Tract 4361,Alameda County,,2
06001436200,Census Tract 4362,Alameda County,,2
06001436300,Census Tract 4363,Alameda County,,2
06001436401,Census Tract 4364.01,Alameda County,,2
06001436602,Census Tract 4366.02,Alameda County,,2
06001436700,Census Tract 4367,Alameda County,,2
06001436800,Census Tract 4368,Alameda County,,2
06001436900,Census Tract 4369,Alameda County,,2
06001437000,Census Tract 4370,Alameda County,,2
06001437200,Census Tract 4372,Alameda County,,2
06001437300,Census Tract 4373,Alameda County,,2
06001437400,Census Tract 4374,Alameda County,,2
06001437600,Census Tract 4376,Alameda County,,2
06001437800,Census Tract 4378,Alameda County,,2
06001437900,Census Tract 4379,Alameda County,,2
06065043822,Census Tract 438.22,Riverside County,,2
06065043823,Census Tract 438.23,Riverside County,,2
06001438100,Census Tract 4381,Alameda County,,2
06001438201,Census Tract 4382.01,Alameda County,,2
06001438400,Census Tract 4384,Alameda County,,2
06071004401,Census Tract 44.01,San Bernardino County,,3
06019004404,Census Tract 44.04,Fresno County,,4
06019004405,Census Tract 44.05,Fresno County,,2
06001440200,Census Tract 4402,Alameda County,,2
06001440304,Census Tract 4403.04,Alameda County,,1
06001440305,Census Tract 4403.05,Alameda County,,1
06001440307,Census Tract 4403.07,Alameda County,,2
06001440308,Census Tract 4403.08,Alameda County,,1
06001440331,Census Tract 4403.31,Alameda County,,1
06001441200,Census Tract 4412,Alameda County,,1
06001441301,Census Tract 4413.01,Alameda County,,1
06001441302,Census Tract 4413.02,Alameda County,,1
06001442700,Census Tract 4427,Alameda County,,1
06001442800,Census Tract 4428,Alameda County,,1
06001442900,Census Tract 4429,Alameda County,,1
06001443001,Census Tract 4430.01,Alameda County,,1
06001443002,Census Tract 4430.02,Alameda County,,1
06001443102,Census Tract 4431.02,Alameda County,,1
06001443301,Census Tract 4433.01,Alameda County,,1
06001444301,Census Tract 4443.01,Alameda County,,1
06065044517,Census Tract 445.17,Riverside County,,3
06065044520,Census Tract 445.20,Riverside County,,5
06065044606,Census Tract 446.06,Riverside County,,3
06001450750,Census Tract 4507.50,Alameda County,,1
06065045121,Census Tract 451.21,Riverside County,,3
06001451403,Census Tract 4514.03,Alameda County,,1
06037462001,Census Tract 4620.01,Los Angeles County,,2
06037463601,Census Tract 4636.01,Los Angeles County,,1
06085504311,Census Tract 5043.11,Santa Clara County,,1
06085504314,Census Tract 5043.14,Santa Clara County,,1
06085504315,Census Tract 5043.15,Santa Clara County,,1
06059052411,Census Tract 524.11,Orange County,,2
06019005301,Census Tract 53.01,Fresno County,,4
06019005302,Census Tract 53.02,Fresno County,,4
06019005304,Census Tract 53.04,Fresno County,,3
06019005305,Census Tract 53.05,Fresno County,,3
06037602504,Census Tract 6025.04,Los Angeles County,,1
06081608013,Census Tract 6080.13,San Mateo County,,1
06059062610,Census Tract 626.10,Orange County,,1
06059062619,Census Tract 626.19,Orange County,,1
06059062620,Census Tract 626.20,Orange County,,1
06059062643,Census Tract 626.43,Orange County,,1
06059062645,Census Tract 626.45,Orange County,,1
06059062647,Census Tract 626.47,Orange County,,2
06059062900,Census Tract 629,Orange County,,1
06059063010,Census Tract 630.10,Orange County,,1
06059063101,Census Tract 631.01,Orange County,,1
06059063102,Census Tract 631.02,Orange County,,1
06059063103,Census Tract 631.03,Orange County,,1
06059063201,Census Tract 632.01,Orange County,,1
06059063907,Census Tract 639.07,Orange County,,1
06059074110,Census Tract 741.10,Orange County,,1
06059074805,Census Tract 748.05,Orange County,,2
06059075604,Census Tract 756.04,Orange County,,1
06059075702,Census Tract 757.02,Orange County,,1
06059087403,Census Tract 874.03,Orange County,,1
06059087902,Census Tract 879.02,Orange County,,2
06059088702,Census Tract 887.02,Orange County,,2
06037910101,Census Tract 9101.01,Los Angeles County,,4
06037920116,Census Tract 9201.16,Los Angeles County,,2
